1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
Q53GQ0	P13073	P61758	O75915						
O00505	Q96IU4	P62304	Q13263						
O75947	O75822	Q99536	P61758						
A0FGR8	Q53GQ0	P36873	P62304						
O95777	O00505	P07858	Q99536						
P02545	O75947	O95816	O95816						
P48454	A0FGR8	Q96IU4	Q8TF65						
P61803	O95777	O75822	O75822						
P49915	P02545	Q53GQ0	Q96IU4						
P49411	P48454	O00505	Q53GQ0						
P31939	P61803	O75947	O00505						
P51571	P49915	A0FGR8	O75947						
Q16851	P49411	O95777	A0FGR8						
Q15293	P31939	P02545	P04183						
Q15084	P51571	P48454	O95777						
P62258	Q16851	P61803	P02545						
P62750	Q15293	P49915	P48454						
P78371	Q15084	P49411	P61803						
Q9Y490	P62258	P31939	P49915						
Q92499	Q6UW68	P51571	P49411						
O43776	P62750	Q16851	P31939						
Q96TA1	P78371	Q15293	P51571						
P05362	Q9Y490	Q15084	Q16851						
Q9NSE4	Q92499	P62258	Q15293						
Q12765	O43776	P62750	Q15084						
P24941	Q96TA1	P78371	P62258						
P22392	P05362	Q9Y490	P62750						
Q9HAV4	Q9NSE4	Q92499	P78371						
Q92945	Q12765	O43776	Q9Y490						
P49368	P24941	Q8NE01	Q92499						
O95456	P22392	Q96TA1	O43776						
P63010	Q9HAV4	P05362	Q01085						
P43490	Q92945	Q9NSE4	Q96TA1						
P23193	P49368	Q12765	P05362						
Q9UJZ1	O95456	P24941	Q9NSE4						
O00232	P63010	P22392	Q12765						
P25205	P43490	Q9HAV4	P24941						
P08243	P23193	Q92945	P22392						
P51398	Q9UJZ1	P14854	Q9HAV4						
P12270	O00232	P49368	Q92945						
P45880	P25205	O95456	P49368						
P49755	P08243	P63010	O95456						
P62888	P51398	P43490	P63010						
P25788	P12270	P23193	P43490						
P08670	P45880	Q9UJZ1	Q15819						
Q53H82	P49755	O00232	P23193						
P54727	P62888	P25205	Q9UJZ1						
P61224	P25788	P08243	O00232						
P20073	P08670	P51398	P25205						
P46779	Q53H82	P12270	P08243						
Q6FI81	P54727	P45880	P51398						
P55145	P61224	P49755	P12270						
Q14011	P20073	P62888	P45880						
Q96HE7	P46779	P25788	P49755						
P01889	Q6FI81	P08670	P62888						
Q14498	P55145	Q53H82	P25788						
Q9UBQ5	Q14011	P54727	P08670						
Q58FF6	Q96HE7	P61224	Q53H82						
P04406	P01889	P20073	P54727						
P29401	P36551	P46779	P61224						
P23588	Q14498	Q6FI81	P20073						
P09496	P19784	P55145	P46779						
Q2NL82	Q9UBQ5	Q14011	Q6FI81						
P14174	Q58FF6	Q96HE7	P55145						
P37235	P04406	P01889	Q14011						
Q9H3N1	P29401	Q07065	Q96HE7						
Q15813	P23588	Q14498	P01889						
P13995	P09496	O14964	P07737						
P28074	Q2NL82	Q9UBQ5	Q14498						
P33176	P14174	Q58FF6	Q9UBQ5						
Q9BPW8	P37235	P04406	Q58FF6						
P08574	Q9UMS0	P29401	P04406						
P68400	Q9H3N1	P23588	P29401						
Q12906	Q15813	P09496	P23588						
Q9P0V9	P13995	Q2NL82	P09496						
P60709	P28074	P14174	Q2NL82						
P27348	P33176	P37235	P14174						
O95757	Q9BPW8	Q9H3N1	P37235						
P31040	P08574	Q15813	Q9H3N1						
P62191	P68400	P13995	Q15813						
Q3MHD2	Q12906	P28074	P13995						
Q15165	P49257	Q8WXX5	P28074						
Q9BUJ2	Q9P0V9	P33176	P33176						
P54578	P60709	Q9BPW8	Q8N3R9						
O15371	P27348	P08574	Q9BPW8						
O75821	O95757	P68400	P08574						
P12277	P31040	Q12906	P68400						
Q9BZG1	P62191	Q9P0V9	P09669						
O60664	Q3MHD2	P60709	Q12906						
P63261	Q15165	P27348	Q9P0V9						
P48637	Q9BUJ2	O95757	P60709						
Q9Y6N5	P54578	P31040	P27348						
P22626	O15371	P62191	O95757						
Q14739	O75821	Q3MHD2	P31040						
Q9Y2X3	P12277	Q15165	P62191						
P28070	Q9BZG1	Q9BUJ2	Q3MHD2						
Q9BWM7	O60664	P54578	Q9Y2R5						
Q04637	P63261	O15371	Q15165						
Q14157	P48637	O75821	Q9BUJ2						
P30041	Q9Y6N5	P12277	P54578						
P50583	P22626	Q9BZG1	O15371						
P17174	Q14739	O60664	O75821						
O75340	Q9Y2X3	P63261	P12277						
Q16643	Q9BWM7	P48637	Q9BZG1						
O75369	P28070	Q9Y6N5	O60664						
Q9UNM6	Q14157	P22626	P62266						
P10644	Q04637	Q14739	P63261						
Q8IYD1	P30041	Q9Y2X3	P48637						
P09429	P50583	Q9BWM7	Q9Y6N5						
Q10471	P17174	P28070	P22626						
P47756	O75340	Q9H2U2	Q14739						
P31947	Q16643	Q14157	Q9Y2X3						
P07741	O75369	Q04637	Q9BWM7						
Q14247	Q9UNM6	P30041	P28070						
P62249	P10644	P50583	Q14157						
P62829	Q8IYD1	P17174	Q04637						
Q13045	P09429	O75340	P30041						
P55957	Q10471	Q16643	P50583						
P22695	P47756	O75369	P17174						
O75352	P31947	Q9UNM6	O75340						
Q9Y281	P07741	P10644	Q16643						
P62873	Q14247	Q8IYD1	O75369						
Q6PIU2	P62249	P09429	Q9UNM6						
P61981	P62829	Q10471	P10644						
Q13011	Q13045	P47756	Q8IYD1						
Q9Y277	P55957	P31947	P09429						
O60716	P22695	P07741	Q10471						
P08621	O75352	Q14247	Q9P258						
P26885	Q9Y281	P62249	P47756						
Q9Y2W1	P62873	P62829	P31947						
Q99829	Q6PIU2	Q13045	P07741						
P27797	P61981	Q8WYA6	Q14247						
Q9UFN0	Q13011	P55957	P62249						
Q9BXJ9	Q9Y277	P22695	P62829						
P27635	O60716	O75352	Q13045						
P17844	P08621	Q9Y281	P55957						
O75436	P26885	P62873	P22695						
P30043	Q9Y2W1	Q6PIU2	O75352						
Q96FW1	Q99829	P61981	Q9Y281						
Q9Y224	P27797	Q13011	P62873						
Q15185	Q9UFN0	Q9Y277	Q6PIU2						
P62917	Q9BXJ9	O60716	O00244						
Q96PU5	P27635	P08621	P61981						
P02786	P17844	P26885	Q13011						
O43615	P35249	Q9Y2W1	Q9Y277						
Q13907	O75436	Q99829	O60716						
P46781	P30043	P27797	P08621						
P51858	Q96FW1	Q9UFN0	P26885						
P06703	Q9Y224	Q9BXJ9	Q9Y2W1						
Q9NRR5	Q15185	P27635	Q99829						
P07814	P02786	P17844	P27797						
